Index	Reporter.Name	S01.01	S01.02	S01.03	S01.04	S02.01	S02.02	S02.03	S02.04	S03.01	S03.02	S03.03	S03.04
1	rno-let-7a-1-3p	233	207	211	199	202	224	185	239	251	254	258	249
2	rno-let-7a-2-3p	83	55	62	58	47	55	49	55	22	22	19	28
3	rno-let-7a-5p	2008	2253	2633	2272	3403	3475	3873	3656	8279	7862	8290	7398
4	rno-let-7b-3p	56	35	51	31	60	65	61	68	78	78	64	78
5	rno-let-7b-5p	1839	1785	2191	1865	2507	2684	2850	2818	5140	4514	4734	4469
7	rno-let-7c-5p	1828	1771	2206	1876	2612	2720	2928	2767	6542	5879	6123	5799
8	rno-let-7d-3p	159	161	188	181	175	176	185	179	375	388	379	366
9	rno-let-7d-5p	1517	1619	1857	1674	3283	3089	3132	2833	6878	6483	6585	5855
10	rno-let-7e-3p	39	47	39	59	30	33	32	32	18	24	21	11
11	rno-let-7e-5p	404	501	480	412	1037	1091	1057	1033	2938	2839	2723	2373
12	rno-let-7f-1-3p	88	102	122	112	70	79	71	63	138	143	132	110
13	rno-let-7f-2-3p	137	154	9	154	56	54	48	48	39	43	45	42
14	rno-let-7f-5p	1909	2230	2376	2139	5192	5235	5205	4872	9095	9608	8532	8364
16	rno-let-7g-5p	7680	8778	9654	7915	10400	10561	11061	10453	8422	14678	12943	13613
18	rno-let-7i-5p	5434	6712	6833	5789	11930	12309	12954	12267	9670	10588	9545	9316
19	rno-miR-1-3p	128	172	181	184	72	89	66	62	1466	1464	1477	1639
21	rno-miR-1b	9705	10052	10769	11653	6923	7576	6592	7937	31625	36929	33270	33522
22	rno-miR-7a-1-3p	275	368	336	311	224	239	202	260	527	539	472	495
24	rno-miR-7a-5p	24	39	41	37	249	220	210	243	131	148	132	127
26	rno-miR-9a-3p	61	78	53	61	19	14	15	8	58	44	46	45
27	rno-miR-9a-5p	122	105	134	136	37	28	24	19	248	229	248	228
31	rno-miR-10a-5p	71	76	80	95	272	267	259	304	75	72	76	76
33	rno-miR-10b-5p	23	27	30	41	91	107	76	110	65	70	68	75
34	rno-miR-15a-3p	10	14	28	24	28	26	37	27	13	16	11	16
35	rno-miR-15a-5p	1311	1485	1548	1658	1026	1010	881	906	2454	2317	2583	2598
37	rno-miR-15b-5p	1679	1917	2154	2214	4265	4554	4569	4760	3506	3299	3830	3627
38	rno-miR-16-3p	190	212	231	247	204	210	176	226	98	98	103	104
39	rno-miR-16-5p	4443	4700	5393	5467	4336	4666	4302	4910	3110	3219	3643	3429
42	rno-miR-17-5p	1889	2190	2354	2475	1708	1861	1934	1943	1507	1363	1565	1529
43	rno-miR-18a-3p	21	20	27	34	27	24	20	23	8	8	7	15
44	rno-miR-18a-5p	361	414	444	385	306	293	281	233	51	46	37	50
45	rno-miR-19a-3p	36	42	28	43	10	13	5	13	37	32	32	34
49	rno-miR-19b-3p	784	914	949	908	450	517	429	486	482	517	470	443
51	rno-miR-20a-5p	3298	3867	3862	3909	2234	2543	2611	2836	1540	1499	1620	1640
53	rno-miR-20b-5p	911	953	997	944	290	294	282	341	724	633	690	747
54	rno-miR-21-3p	11	16	16	22	25	28	34	27	18	16	27	17
55	rno-miR-21-5p	2220	2555	2661	2237	21816	24910	25169	23932	20999	19129	21473	20891
56	rno-miR-22-3p	22327	22719	23860	20109	17012	18302	19862	14423	15888	16357	15670	13573
57	rno-miR-22-5p	1861	1954	2002	1923	1824	2132	2057	1841	1448	1647	1872	1643
