Source	Target	Species	Target Score	Target Description	SourceType	TargetType
miR-15b-5p	PAPPA	Human	100	pappalysin 1	miRNA	mRNA
miR-15b-5p	FASN	Human	100	fatty acid synthase	miRNA	mRNA
miR-15b-5p	UNC80	Human	100	unc-80 homolog, NALCN channel complex subunit	miRNA	mRNA
miR-15b-5p	FGF2	Human	100	fibroblast growth factor 2	miRNA	mRNA
miR-15b-5p	TNRC6B	Human	100	trinucleotide repeat containing 6B	miRNA	mRNA
miR-15b-5p	PTPN4	Human	100	protein tyrosine phosphatase, non-receptor type 4	miRNA	mRNA
miR-15b-5p	PHF19	Human	100	PHD finger protein 19	miRNA	mRNA
miR-15b-5p	DESI1	Human	100	desumoylating isopeptidase 1	miRNA	mRNA
miR-199a-3p	ADAMTSL3	Human	100	ADAMTS like 3	miRNA	mRNA
miR-29c-3p	COL5A3	Human	100	collagen type V alpha 3 chain	miRNA	mRNA
miR-29c-3p	COL5A1	Human	100	collagen type V alpha 1 chain	miRNA	mRNA
miR-29c-3p	TET1	Human	100	tet methylcytosine dioxygenase 1	miRNA	mRNA
miR-29c-3p	HBP1	Human	100	HMG-box transcription factor 1	miRNA	mRNA
miR-29c-3p	FBN1	Human	100	fibrillin 1	miRNA	mRNA
miR-29c-3p	ATAD2B	Human	100	ATPase family, AAA domain containing 2B	miRNA	mRNA
miR-29c-3p	TET3	Human	100	tet methylcytosine dioxygenase 3	miRNA	mRNA
miR-29c-3p	COL3A1	Human	100	collagen type III alpha 1 chain	miRNA	mRNA
miR-140-3p	IDS	Human	99	iduronate 2-sulfatase	miRNA	mRNA
miR-140-3p	ADAM10	Human	99	ADAM metallopeptidase domain 10	miRNA	mRNA
miR-15b-5p	UBE2Q1	Human	99	ubiquitin conjugating enzyme E2 Q1	miRNA	mRNA
miR-15b-5p	LSM11	Human	99	LSM11, U7 small nuclear RNA associated	miRNA	mRNA
miR-15b-5p	NECTIN1	Human	99	nectin cell adhesion molecule 1	miRNA	mRNA
miR-15b-5p	GAREM1	Human	99	GRB2 associated regulator of MAPK1 subtype 1	miRNA	mRNA
miR-15b-5p	ANKUB1	Human	99	ankyrin repeat and ubiquitin domain containing 1	miRNA	mRNA
miR-15b-5p	FBXO21	Human	99	F-box protein 21	miRNA	mRNA
miR-15b-5p	CCNE1	Human	99	cyclin E1	miRNA	mRNA
miR-15b-5p	ATG14	Human	99	autophagy related 14	miRNA	mRNA
miR-15b-5p	KIF1B	Human	99	kinesin family member 1B	miRNA	mRNA
miR-15b-5p	LUZP1	Human	99	leucine zipper protein 1	miRNA	mRNA
miR-15b-5p	SLC13A3	Human	99	solute carrier family 13 member 3	miRNA	mRNA
