species	source	target	position	validated	sourcetype	targettype
human	miR-15b-5p	ABHD2	CDS	MIRT482580	miRNA	mRNA
human	miR-193b-3p	ABI2	3UTR	MIRT016520	miRNA	mRNA
human	miR-15b-5p	AFF4	CDS	MIRT728382	miRNA	mRNA
human	miR-193b-3p	AIMP2	3UTR	MIRT016291	miRNA	mRNA
human	miR-15b-5p	AKT3	3UTR	MIRT482118	miRNA	mRNA
human	miR-214-3p	ALPK2	CDS	MIRT438676	miRNA	mRNA
human	miR-214-3p	AMER1	3UTR	MIRT482009	miRNA	mRNA
human	miR-15b-5p	AMER1	CDS	MIRT727718	miRNA	mRNA
human	miR-15b-5p	AMMECR1L	3UTR	MIRT046528	miRNA	mRNA
human	miR-15b-5p	AMMECR1L	CDS	MIRT046528	miRNA	mRNA
human	miR-214-5p	ANAPC16	3UTR	MIRT673706	miRNA	mRNA
human	miR-15b-5p	AP2B1	CDS	MIRT737951	miRNA	mRNA
human	miR-15b-5p	APP	CDS	MIRT543076	miRNA	mRNA
human	miR-193b-3p	AREL1	3UTR	MIRT016609	miRNA	mRNA
human	miR-214-3p	ARHGAP10	3UTR	MIRT437670	miRNA	mRNA
human	miR-193b-3p	ARHGAP19	3UTR	MIRT016589	miRNA	mRNA
human	miR-15b-5p	ARHGAP32	CDS	MIRT714441	miRNA	mRNA
human	miR-15b-5p	ARHGDIA	5UTR	MIRT512289	miRNA	mRNA
mouse	miR-15b-5p	Arl2	3UTR	MIRT003376	miRNA	mRNA
rat	miR-15b-5p	Arl2	3UTR	MIRT007462	miRNA	mRNA
mouse	miR-15b-5p	Armcx6	CDS	MIRT592342	miRNA	mRNA
human	miR-214-3p	ARMH3	3UTR	MIRT480535	miRNA	mRNA
human	miR-214-3p	ASH1L	3UTR	MIRT181245	miRNA	mRNA
mouse	miR-214-3p	Atg12	3UTR	MIRT733028	miRNA	mRNA
human	miR-15b-5p	ATG9A	CDS	MIRT503144	miRNA	mRNA
human	miR-15b-5p	ATXN7L3B	3UTR	MIRT248767	miRNA	mRNA
human	miR-15b-5p	AVL9	3UTR	MIRT481184	miRNA	mRNA
human	miR-15b-5p	B4GALT1	3UTR	MIRT046468	miRNA	mRNA
