Source	Target	Species	Target Score	Target Description	SourceType	TargetType	TargetDegree	MultipleSpecies
miR-15b-5p	Otx1	Rat	100	orthodenticle homeobox 1	miRNA	mRNA	1	1
miR-15b-5p	Luzp1	Rat	99	leucine zipper protein 1	miRNA	mRNA	2	3
miR-15b-5p	Rai2	Rat	99	retinoic acid induced 2	miRNA	mRNA	2	2
miR-199a-3p	Adamtsl3	Rat	99	ADAMTS-like 3	miRNA	mRNA	1	3
miR-1b	Mmd	Rat	99	monocyte to macrophage differentiation-associated	miRNA	mRNA	1	1
miR-1b	Helz2	Rat	99	helicase with zinc finger 2	miRNA	mRNA	1	1
miR-499-5p	Myef2	Rat	99	myelin expression factor 2	miRNA	mRNA	1	2
miR-15b-5p	Pth	Rat	98	parathyroid hormone	miRNA	mRNA	1	3
miR-15b-5p	Pafah1b1	Rat	98	"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1"	miRNA	mRNA	1	3
miR-15b-5p	N4bp1	Rat	98	Nedd4 binding protein 1	miRNA	mRNA	1	3
miR-15b-5p	Tnrc6b	Rat	98	trinucleotide repeat containing 6B	miRNA	mRNA	2	3
miR-15b-5p	Spta1	Rat	98	"spectrin, alpha, erythrocytic 1"	miRNA	mRNA	1	1
miR-199a-3p	Pon2	Rat	98	paraoxonase 2	miRNA	mRNA	1	2
miR-199a-3p	Cd151	Rat	98	CD151 molecule (Raph blood group)	miRNA	mRNA	1	2
miR-1b	Slc44a1	Rat	98	solute carrier family 44 member 1	miRNA	mRNA	1	1
miR-1b	Glcci1	Rat	98	glucocorticoid induced 1	miRNA	mRNA	1	1
miR-214-3p	Naa15	Rat	98	"N(alpha)-acetyltransferase 15, NatA auxiliary subunit"	miRNA	mRNA	1	3
miR-214-3p	Cpsf4	Rat	98	cleavage and polyadenylation specific factor 4	miRNA	mRNA	1	3
miR-214-3p	Zfand3	Rat	98	zinc finger AN1-type containing 3	miRNA	mRNA	1	3
miR-214-3p	Med19	Rat	98	mediator complex subunit 19	miRNA	mRNA	1	3
miR-214-5p	Memo1	Rat	98	mediator of cell motility 1	miRNA	mRNA	1	1
miR-214-5p	Slc17a3	Rat	98	solute carrier family 17 member 3	miRNA	mRNA	1	1
miR-320-3p	Pbx3	Rat	98	PBX homeobox 3	miRNA	mRNA	1	2
miR-320-3p	Spopl	Rat	98	speckle type BTB/POZ protein like	miRNA	mRNA	1	2
miR-320-3p	Armc1	Rat	98	armadillo repeat containing 1	miRNA	mRNA	1	2
miR-499-5p	Hint3	Rat	98	histidine triad nucleotide binding protein 3	miRNA	mRNA	1	1
miR-140-3p	Pcdh17	Rat	97	protocadherin 17	miRNA	mRNA	1	3
miR-15b-5p	Cdk17	Rat	97	cyclin-dependent kinase 17	miRNA	mRNA	1	3
miR-15b-5p	Ncs1	Rat	97	neuronal calcium sensor 1	miRNA	mRNA	1	2
miR-15b-5p	Ahcyl2	Rat	97	adenosylhomocysteinase-like 2	miRNA	mRNA	1	3
miR-15b-5p	Rnf217	Rat	97	ring finger protein 217	miRNA	mRNA	1	2
miR-15b-5p	Bicd1	Rat	97	BICD cargo adaptor 1	miRNA	mRNA	1	2
miR-15b-5p	Phf19	Rat	97	PHD finger protein 19	miRNA	mRNA	1	3
miR-15b-5p	Crebrf	Rat	97	CREB3 regulatory factor	miRNA	mRNA	1	2
miR-193b-3p	Fhdc1	Rat	97	FH2 domain containing 1	miRNA	mRNA	1	2
miR-199a-3p	Serpine2	Rat	97	serpin family E member 2	miRNA	mRNA	1	3
miR-1b	Snx2	Rat	97	sorting nexin 2	miRNA	mRNA	1	1
miR-1b	Slc39a10	Rat	97	solute carrier family 39 member 10	miRNA	mRNA	1	3
miR-1b	Ankrd29	Rat	97	ankyrin repeat domain 29	miRNA	mRNA	1	1
miR-1b	Xpo6	Rat	97	exportin 6	miRNA	mRNA	1	1
miR-214-3p	Nol10	Rat	97	nucleolar protein 10	miRNA	mRNA	1	1
miR-214-3p	Psmd11	Rat	97	"proteasome 26S subunit, non-ATPase 11"	miRNA	mRNA	1	1
miR-214-3p	Luzp1	Rat	97	leucine zipper protein 1	miRNA	mRNA	2	3
miR-214-3p	Camta1	Rat	97	calmodulin binding transcription activator 1	miRNA	mRNA	1	1
miR-499-5p	Ncbp2	Rat	97	nuclear cap binding protein subunit 2	miRNA	mRNA	1	1
miR-499-5p	Stc1	Rat	97	stanniocalcin 1	miRNA	mRNA	1	2
miR-499-5p	Snrk	Rat	97	SNF related kinase	miRNA	mRNA	1	2
miR-140-3p	Tab2	Rat	96	TGF-beta activated kinase 1/MAP3K7 binding protein 2	miRNA	mRNA	1	2
miR-140-3p	Ythdf1	Rat	96	YTH N(6)-methyladenosine RNA binding protein 1	miRNA	mRNA	1	2
miR-15b-5p	Srpra	Rat	96	SRP receptor subunit alpha	miRNA	mRNA	1	2
miR-15b-5p	Reck	Rat	96	reversion-inducing-cysteine-rich protein with kazal motifs	miRNA	mRNA	1	3
miR-15b-5p	Zfyve1	Rat	96	zinc finger FYVE-type containing 1	miRNA	mRNA	1	1
miR-15b-5p	Tgfbr3	Rat	96	transforming growth factor beta receptor 3	miRNA	mRNA	1	3
miR-15b-5p	Tmem178b	Rat	96	transmembrane protein 178B	miRNA	mRNA	1	2
