Source	Target	Species	Target Score	Target Description	SourceType	TargetType	TargetDegree	MultipleSpecies
miR-140-3p	Gm14440	Mouse	100	predicted gene 14440	miRNA	mRNA	1	1
miR-15b-5p	Pappa	Mouse	100	pregnancy-associated plasma protein A	miRNA	mRNA	1	2
miR-199a-3p	Adamtsl3	Mouse	100	ADAMTS-like 3	miRNA	mRNA	1	3
miR-1b-5p	Pes1	Mouse	100	pescadillo ribosomal biogenesis factor 1	miRNA	mRNA	1	1
miR-1b-5p	Kat7	Mouse	100	K(lysine) acetyltransferase 7	miRNA	mRNA	1	1
miR-1b-5p	Olfr658	Mouse	100	olfactory receptor 658	miRNA	mRNA	1	1
miR-1b-5p	Pfkfb2	Mouse	100	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	miRNA	mRNA	1	1
miR-1b-5p	Unk	Mouse	100	unkempt family zinc finger	miRNA	mRNA	1	1
miR-29c-3p	Nav1	Mouse	100	neuron navigator 1	miRNA	mRNA	1	2
miR-29c-3p	Col5a1	Mouse	100	collagen, type V, alpha 1	miRNA	mRNA	1	2
miR-29c-3p	Tet2	Mouse	100	tet methylcytosine dioxygenase 2	miRNA	mRNA	1	2
miR-29c-3p	Tet3	Mouse	100	tet methylcytosine dioxygenase 3	miRNA	mRNA	1	2
miR-29c-3p	Sestd1	Mouse	100	SEC14 and spectrin domains 1	miRNA	mRNA	1	2
miR-320-3p	Arpp19	Mouse	100	cAMP-regulated phosphoprotein 19	miRNA	mRNA	1	2
miR-320-3p	Pigk	Mouse	100	phosphatidylinositol glycan anchor biosynthesis, class K	miRNA	mRNA	1	1
miR-320-3p	Onecut2	Mouse	100	one cut domain, family member 2	miRNA	mRNA	2	1
miR-499-5p	Myef2	Mouse	100	myelin basic protein expression factor 2, repressor	miRNA	mRNA	1	2
miR-499-5p	Pgap1	Mouse	100	post-GPI attachment to proteins 1	miRNA	mRNA	1	2
miR-140-3p	Zfp131	Mouse	99	zinc finger protein 131	miRNA	mRNA	1	1
miR-15b-5p	Ubfd1	Mouse	99	ubiquitin family domain containing 1	miRNA	mRNA	1	2
miR-15b-5p	Plxna4	Mouse	99	plexin A4	miRNA	mRNA	1	2
miR-15b-5p	Akt3	Mouse	99	thymoma viral proto-oncogene 3	miRNA	mRNA	1	2
miR-15b-5p	Cpeb2	Mouse	99	cytoplasmic polyadenylation element binding protein 2	miRNA	mRNA	1	2
miR-15b-5p	Mapkap1	Mouse	99	mitogen-activated protein kinase associated protein 1	miRNA	mRNA	1	1
miR-15b-5p	Rasgef1b	Mouse	99	RasGEF domain family, member 1B	miRNA	mRNA	1	2
miR-15b-5p	Arl2	Mouse	99	ADP-ribosylation factor-like 2	miRNA	mRNA	2	3
miR-199a-3p	Itga3	Mouse	99	integrin alpha 3	miRNA	mRNA	1	2
miR-199a-3p	Cd151	Mouse	99	CD151 antigen	miRNA	mRNA	1	2
miR-199a-3p	Celsr2	Mouse	99	cadherin, EGF LAG seven-pass G-type receptor 2	miRNA	mRNA	1	2
miR-1b-5p	Neurog2	Mouse	99	neurogenin 2	miRNA	mRNA	1	1
miR-1b-5p	Chd2	Mouse	99	chromodomain helicase DNA binding protein 2	miRNA	mRNA	2	2
miR-214-3p	Luzp1	Mouse	99	leucine zipper protein 1	miRNA	mRNA	2	3
miR-214-3p	Dolpp1	Mouse	99	dolichyl pyrophosphate phosphatase 1	miRNA	mRNA	1	3
miR-214-3p	Snx12	Mouse	99	sorting nexin 12	miRNA	mRNA	1	2
miR-214-3p	Usp20	Mouse	99	ubiquitin specific peptidase 20	miRNA	mRNA	1	1
miR-214-3p	Cpsf4	Mouse	99	cleavage and polyadenylation specific factor 4	miRNA	mRNA	1	3
miR-29c-3p	Col9a1	Mouse	99	collagen, type IX, alpha 1	miRNA	mRNA	1	2
miR-29c-3p	Adamts17	Mouse	99	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17	miRNA	mRNA	1	2
miR-29c-3p	Col11a1	Mouse	99	collagen, type XI, alpha 1	miRNA	mRNA	1	2
miR-29c-3p	Nexmif	Mouse	99	neurite extension and migration factor	miRNA	mRNA	1	3
miR-29c-3p	Fbn1	Mouse	99	fibrillin 1	miRNA	mRNA	1	2
miR-29c-3p	Col4a5	Mouse	99	collagen, type IV, alpha 5	miRNA	mRNA	1	1
miR-29c-3p	Nasp	Mouse	99	nuclear autoantigenic sperm protein (histone-binding)	miRNA	mRNA	1	2
miR-29c-3p	Atad2b	Mouse	99	ATPase family, AAA domain containing 2B	miRNA	mRNA	1	2
miR-29c-3p	Col3a1	Mouse	99	collagen, type III, alpha 1	miRNA	mRNA	1	2
miR-29c-3p	Col5a2	Mouse	99	collagen, type V, alpha 2	miRNA	mRNA	1	2
miR-29c-3p	Col5a3	Mouse	99	collagen, type V, alpha 3	miRNA	mRNA	1	2
miR-29c-3p	Eln	Mouse	99	elastin	miRNA	mRNA	1	2
miR-320-3p	Tmem64	Mouse	99	transmembrane protein 64	miRNA	mRNA	1	1
miR-320-3p	Pan3	Mouse	99	PAN3 poly(A) specific ribonuclease subunit	miRNA	mRNA	1	1
miR-499-5p	Sox6	Mouse	99	SRY (sex determining region Y)-box 6	miRNA	mRNA	1	1
miR-499-5p	Rsbn1	Mouse	99	rosbin, round spermatid basic protein 1	miRNA	mRNA	1	2
miR-499-5p	Abhd17b	Mouse	99	abhydrolase domain containing 17B	miRNA	mRNA	1	1
miR-140-3p	Git1	Mouse	98	GIT ArfGAP 1	miRNA	mRNA	1	1
miR-15b-5p	Syde2	Mouse	98	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)	miRNA	mRNA	1	2
miR-15b-5p	Luzp1	Mouse	98	leucine zipper protein 1	miRNA	mRNA	2	3
miR-15b-5p	Ahcyl2	Mouse	98	S-adenosylhomocysteine hydrolase-like 2	miRNA	mRNA	1	3
miR-15b-5p	Tnrc6b	Mouse	98	trinucleotide repeat containing 6b	miRNA	mRNA	1	3
